VIN;Modelo;Distancia_SUMO_km;Distancia_Trajeto_Original_km;Distancia_Trajeto_com_Offset_km;Diferenca_Distancia_km;Offset_Cancelado;Tentativas_MapMatching;Pontos_Descartados_MapMatching;Num_Pontos;Start_Lat_Original;Start_Lon_Original;End_Lat_Original;End_Lon_Original;Start_Lat_com_Offset;Start_Lon_com_Offset;End_Lat_com_Offset;End_Lon_com_Offset;Diferenca_Distancia_Percentual;Offset_X_Graus;Offset_Y_Graus;Raio_Maximo_km
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;1,3119;0,0746;False;42;0;40;40,7756;-73,9605;40,7731;-73,9603;40,7873;-73,9562;40,7847;-73,9561;6,0260;0,0120;0,0036;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;1,9620;0,7247;False;42;0;40;40,7756;-73,9605;40,7731;-73,9603;40,7784;-73,9673;40,7737;-73,9661;58,5691;0,0012;-0,0078;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;1,3025;0,0652;False;42;0;40;40,7756;-73,9605;40,7731;-73,9603;40,7750;-73,9447;40,7727;-73,9449;5,2673;-0,0006;0,0159;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;1,4822;0,2448;False;42;0;40;40,7756;-73,9605;40,7731;-73,9603;40,7662;-73,9601;40,7634;-73,9594;19,7874;-0,0094;0,0005;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;1,2126;-0,0248;False;42;0;40;40,7756;-73,9605;40,7731;-73,9603;40,7630;-73,9566;40,7605;-73,9567;-2,0029;-0,0127;0,0037;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;1,2788;0,0414;False;42;0;40;40,7756;-73,9605;40,7731;-73,9603;40,7826;-73,9532;40,7801;-73,9529;3,3473;0,0069;0,0074;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;1,1907;-0,0467;False;42;0;40;40,7756;-73,9605;40,7731;-73,9603;40,7752;-73,9453;40,7721;-73,9459;-3,7712;-0,0008;0,0143;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;1,3688;0,1315;False;42;0;40;40,7756;-73,9605;40,7731;-73,9603;40,7637;-73,9561;40,7612;-73,9558;10,6268;-0,0121;0,0048;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;1,3994;0,1620;False;42;0;40;40,7756;-73,9605;40,7731;-73,9603;40,7760;-73,9470;40,7737;-73,9459;13,0957;0,0007;0,0137;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;0,6745;-0,5629;False;42;0;40;40,7756;-73,9605;40,7731;-73,9603;40,7731;-73,9445;40,7717;-73,9461;-45,4909;-0,0028;0,0165;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;1,4875;0,2502;False;42;0;40;40,7756;-73,9605;40,7731;-73,9603;40,7618;-73,9633;40,7590;-73,9626;20,2211;-0,0138;-0,0023;2,0000
